candidate_id,rank,score,reasoning
CAND_0045250,1,0.834954,"Applied ML Engineer with 6.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 357); India-based (Delhi, Delhi)."
CAND_0077337,2,0.83477,"Staff Machine Learning Engineer with 7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 326); India-based (Kochi, Kerala); actively open to work; high recruiter responsiveness (resp=0.95)."
CAND_0071974,3,0.826554,"Senior AI Engineer with 7.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 379); India-based (Vizag, Andhra Pradesh); actively open to work; high recruiter responsiveness (resp=0.76)."
CAND_0081846,4,0.823503,"Lead AI Engineer with 6.7 yrs experience; career shows ML/data engineering alignment (semantic score 0.60); very high-trust IR/embedding skills (trust score 361); India-based (Jaipur, Rajasthan); actively open to work; high recruiter responsiveness (resp=0.73)."
CAND_0094056,5,0.819419,"NLP Engineer with 5.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 320); India-based (Chennai, Tamil Nadu); 120-day notice period."
CAND_0088025,6,0.811778,"Staff Machine Learning Engineer with 8.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.64); very high-trust IR/embedding skills (trust score 308); India-based (Jaipur, Rajasthan); actively open to work; high recruiter responsiveness (resp=0.83)."
CAND_0062247,7,0.810599,"AI Engineer with 7.3 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.71); very high-trust IR/embedding skills (trust score 253); India-based (Kochi, Kerala); actively open to work; high recruiter responsiveness (resp=0.78)."
CAND_0041610,8,0.806268,"Recommendation Systems Engineer with 6.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 267); India-based (Indore, Madhya Pradesh); actively open to work; high recruiter responsiveness (resp=0.52)."
CAND_0070398,9,0.803331,"Machine Learning Engineer with 7.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 269); India-based (Kochi, Kerala); actively open to work; 120-day notice period."
CAND_0033861,10,0.803314,"Senior NLP Engineer with 8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 349); India-based (Vizag, Andhra Pradesh); low recruiter response rate (0.16)."
CAND_0018499,11,0.801345,"Senior Machine Learning Engineer with 7.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 303); India-based (Noida, Uttar Pradesh); actively open to work; high recruiter responsiveness (resp=0.61)."
CAND_0068811,12,0.800789,"Applied ML Engineer with 8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 271); India-based (Pune, Maharashtra); actively open to work; high recruiter responsiveness (resp=0.42)."
CAND_0042506,13,0.796529,"Search Engineer with 4.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 270); India-based (Mumbai, Maharashtra); actively open to work; high recruiter responsiveness (resp=0.48)."
CAND_0007009,14,0.795851,"Recommendation Systems Engineer with 7.9 yrs experience; career shows ML/data engineering alignment (semantic score 0.59); very high-trust IR/embedding skills (trust score 318); India-based (Noida, Uttar Pradesh); actively open to work; high recruiter responsiveness (resp=0.62)."
CAND_0055992,15,0.795582,"AI Engineer with 16.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 254); located in Sydney, willing to relocate; actively open to work; high recruiter responsiveness (resp=0.72)."
CAND_0044222,16,0.794109,"AI Engineer with 7.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 224); India-based (Vizag, Andhra Pradesh); actively open to work; high recruiter responsiveness (resp=0.60)."
CAND_0084819,17,0.791226,"Search Engineer with 4.5 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 329); India-based (Indore, Madhya Pradesh); actively open to work; 120-day notice period."
CAND_0050454,18,0.786198,"AI Engineer with 6.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.68); very high-trust IR/embedding skills (trust score 250); India-based (Delhi, Delhi); actively open to work; high recruiter responsiveness (resp=0.77)."
CAND_0049538,19,0.785732,"Applied ML Engineer with 5.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 316); India-based (Jaipur, Rajasthan)."
CAND_0086151,20,0.780889,"Recommendation Systems Engineer with 7.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 264); India-based (Vizag, Andhra Pradesh); actively open to work; 120-day notice period."
CAND_0083307,21,0.779484,"Search Engineer with 7.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.68); very high-trust IR/embedding skills (trust score 274); India-based (Vizag, Andhra Pradesh); actively open to work; 120-day notice period."
CAND_0011162,22,0.779322,"Recommendation Systems Engineer with 5.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 291); India-based (Coimbatore, Tamil Nadu); actively open to work."
CAND_0061265,23,0.779029,"Recommendation Systems Engineer with 6.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.72); very high-trust IR/embedding skills (trust score 230); India-based (Delhi, Delhi); actively open to work; 120-day notice period."
CAND_0006557,24,0.778317,"NLP Engineer with 7.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 360); India-based (Jaipur, Rajasthan); actively open to work; 120-day notice period."
CAND_0069905,25,0.776852,"Applied ML Engineer with 6.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.72); very high-trust IR/embedding skills (trust score 210); India-based (Bhubaneswar, Odisha); actively open to work."
CAND_0005649,26,0.775925,"Senior Data Scientist with 7.4 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.68); very high-trust IR/embedding skills (trust score 210); India-based (Delhi, Delhi); actively open to work."
CAND_0000031,27,0.77437,"Recommendation Systems Engineer with 6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 232); India-based (Hyderabad, Telangana); actively open to work; high recruiter responsiveness (resp=0.91)."
CAND_0041669,28,0.772762,"Recommendation Systems Engineer with 8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 212); India-based (Noida, Uttar Pradesh); actively open to work; high recruiter responsiveness (resp=0.77)."
CAND_0008425,29,0.771642,"Senior NLP Engineer with 7.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 283); India-based (Kolkata, West Bengal); actively open to work."
CAND_0046064,30,0.767973,"Senior NLP Engineer with 8.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 267); India-based (Coimbatore, Tamil Nadu); actively open to work; high recruiter responsiveness (resp=0.78)."
CAND_0099806,31,0.764547,"AI Engineer with 4.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 250); India-based (Bhubaneswar, Odisha); actively open to work; high recruiter responsiveness (resp=0.76)."
CAND_0076251,32,0.764546,"Search Engineer with 7.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.73); very high-trust IR/embedding skills (trust score 171); India-based (Bhubaneswar, Odisha); actively open to work; high recruiter responsiveness (resp=0.51)."
CAND_0052328,33,0.764527,"Recommendation Systems Engineer with 6.5 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.64); very high-trust IR/embedding skills (trust score 222); India-based (Pune, Maharashtra); actively open to work; high recruiter responsiveness (resp=0.79)."
CAND_0011687,34,0.763921,"Senior NLP Engineer with 7.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 253); India-based (Indore, Madhya Pradesh); actively open to work; high recruiter responsiveness (resp=0.89)."
CAND_0041568,35,0.763308,Search Engineer with 5.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 322); located in Sydney; actively open to work.
CAND_0036184,36,0.761544,"Recommendation Systems Engineer with 6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.68); very high-trust IR/embedding skills (trust score 228); India-based (Trivandrum, Kerala); actively open to work; high recruiter responsiveness (resp=0.90)."
CAND_0099401,37,0.759106,"NLP Engineer with 7.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 211); India-based (Ahmedabad, Gujarat)."
CAND_0042029,38,0.756586,"Senior Data Scientist with 6.5 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 229); India-based (Delhi, Delhi)."
CAND_0028793,39,0.75396,"Search Engineer with 7.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 158); India-based (Trivandrum, Kerala); actively open to work; 120-day notice period."
CAND_0006418,40,0.752385,"Machine Learning Engineer with 5.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 283); India-based (Gurgaon, Haryana); actively open to work; high recruiter responsiveness (resp=0.92)."
CAND_0009024,41,0.748624,"Search Engineer with 5.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 210); India-based (Chennai, Tamil Nadu); actively open to work; high recruiter responsiveness (resp=0.46)."
CAND_0079387,42,0.747339,"AI Engineer with 6.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 219); India-based (Trivandrum, Kerala); actively open to work; high recruiter responsiveness (resp=0.81)."
CAND_0002025,43,0.747173,"Senior AI Engineer with 5.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 252); India-based (Trivandrum, Kerala); actively open to work; high recruiter responsiveness (resp=0.80)."
CAND_0037566,44,0.746612,"Machine Learning Engineer with 6.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 232); India-based (Bangalore, Karnataka); actively open to work; high recruiter responsiveness (resp=0.50)."
CAND_0092278,45,0.745829,"Senior NLP Engineer with 6.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 264); India-based (Pune, Maharashtra); low recruiter response rate (0.07)."
CAND_0091909,46,0.745754,"Machine Learning Engineer with 6.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.64); very high-trust IR/embedding skills (trust score 245); India-based (Bangalore, Karnataka); actively open to work; high recruiter responsiveness (resp=0.65)."
CAND_0013536,47,0.743271,"Applied ML Engineer with 14.1 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 304); India-based (Trivandrum, Kerala); actively open to work."
CAND_0020708,48,0.742973,"Search Engineer with 4.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.68); very high-trust IR/embedding skills (trust score 230); India-based (Indore, Madhya Pradesh); actively open to work; high recruiter responsiveness (resp=0.84)."
CAND_0029367,49,0.741244,"Senior Data Scientist with 5.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 238); India-based (Bangalore, Karnataka); actively open to work."
CAND_0049896,50,0.739966,"Search Engineer with 7.3 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 157); India-based (Vizag, Andhra Pradesh); actively open to work."
CAND_0087630,51,0.738752,"AI Engineer with 7.2 yrs experience; career shows ML/data engineering alignment (semantic score 0.59); very high-trust IR/embedding skills (trust score 251); India-based (Gurgaon, Haryana)."
CAND_0096172,52,0.738526,"NLP Engineer with 5.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.68); very high-trust IR/embedding skills (trust score 239); India-based (Chennai, Tamil Nadu)."
CAND_0095619,53,0.738454,"NLP Engineer with 15.6 yrs experience; career shows ML/data engineering alignment (semantic score 0.60); very high-trust IR/embedding skills (trust score 284); India-based (Mumbai, Maharashtra); actively open to work; high recruiter responsiveness (resp=0.90)."
CAND_0039754,54,0.736789,"Senior Applied Scientist with 16.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 277); India-based (Indore, Madhya Pradesh); actively open to work; high recruiter responsiveness (resp=0.81)."
CAND_0086022,55,0.73627,"Senior Applied Scientist with 5.3 yrs experience; career shows ML/data engineering alignment (semantic score 0.56); very high-trust IR/embedding skills (trust score 269); India-based (Kolkata, West Bengal); actively open to work; high recruiter responsiveness (resp=0.55)."
CAND_0077285,56,0.735948,"Recommendation Systems Engineer with 5.5 yrs experience; career shows ML/data engineering alignment (semantic score 0.58); very high-trust IR/embedding skills (trust score 292); India-based (Ahmedabad, Gujarat); actively open to work; high recruiter responsiveness (resp=0.56)."
CAND_0044855,57,0.733831,"Senior Data Scientist with 6.6 yrs experience; career shows ML/data engineering alignment (semantic score 0.57); very high-trust IR/embedding skills (trust score 310); India-based (Coimbatore, Tamil Nadu)."
CAND_0020877,58,0.733681,"Applied ML Engineer with 5.1 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.64); very high-trust IR/embedding skills (trust score 270); India-based (Gurgaon, Haryana)."
CAND_0031593,59,0.733043,"Search Engineer with 7.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 179); India-based (Kolkata, West Bengal); actively open to work."
CAND_0039383,60,0.731628,"Applied ML Engineer with 7.1 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 207); India-based (Gurgaon, Haryana); actively open to work."
CAND_0053695,61,0.730766,"Recommendation Systems Engineer with 5.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 175); India-based (Bhubaneswar, Odisha); actively open to work; high recruiter responsiveness (resp=0.60)."
CAND_0015578,62,0.730689,"AI Engineer with 5.4 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 279); India-based (Delhi, Delhi); actively open to work."
CAND_0065195,63,0.730523,"Search Engineer with 5.1 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.71); very high-trust IR/embedding skills (trust score 194); India-based (Kolkata, West Bengal); actively open to work; high recruiter responsiveness (resp=0.80)."
CAND_0051630,64,0.730514,"Machine Learning Engineer with 6 yrs experience; career shows ML/data engineering alignment (semantic score 0.58); very high-trust IR/embedding skills (trust score 295); India-based (Kolkata, West Bengal)."
CAND_0066376,65,0.730218,"Applied ML Engineer with 5.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.60); very high-trust IR/embedding skills (trust score 267); India-based (Mumbai, Maharashtra); actively open to work."
CAND_0070202,66,0.729506,"Machine Learning Engineer with 5.1 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 269); India-based (Jaipur, Rajasthan)."
CAND_0052682,67,0.729043,"NLP Engineer with 6.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 178); India-based (Vizag, Andhra Pradesh); actively open to work; high recruiter responsiveness (resp=0.88)."
CAND_0075574,68,0.727004,"Machine Learning Engineer with 5.7 yrs experience; career shows ML/data engineering alignment (semantic score 0.60); very high-trust IR/embedding skills (trust score 245); India-based (Bangalore, Karnataka); actively open to work; high recruiter responsiveness (resp=0.58)."
CAND_0075249,69,0.726441,"Applied ML Engineer with 6.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 203); India-based (Ahmedabad, Gujarat); actively open to work; high recruiter responsiveness (resp=0.82)."
CAND_0047721,70,0.724877,"Senior Data Scientist with 7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 257); India-based (Coimbatore, Tamil Nadu)."
CAND_0046525,71,0.72443,"Senior Machine Learning Engineer with 6.1 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 134); India-based (Pune, Maharashtra); actively open to work; high recruiter responsiveness (resp=0.88)."
CAND_0030031,72,0.72425,"AI Engineer with 5.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 236); India-based (Trivandrum, Kerala)."
CAND_0064326,73,0.723608,"Search Engineer with 7.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 135); India-based (Gurgaon, Haryana); actively open to work; high recruiter responsiveness (resp=0.94)."
CAND_0030953,74,0.723252,"Search Engineer with 7.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.67); very high-trust IR/embedding skills (trust score 157); India-based (Chennai, Tamil Nadu)."
CAND_0051004,75,0.722957,"Senior Data Scientist with 4.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 169); India-based (Delhi, Delhi); actively open to work; high recruiter responsiveness (resp=0.41)."
CAND_0064270,76,0.722479,"Applied ML Engineer with 4.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.67); very high-trust IR/embedding skills (trust score 210); India-based (Pune, Maharashtra)."
CAND_0026532,77,0.718512,"Recommendation Systems Engineer with 4.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 217); India-based (Chennai, Tamil Nadu); actively open to work."
CAND_0098846,78,0.718127,"AI Engineer with 7.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.64); very high-trust IR/embedding skills (trust score 140); India-based (Indore, Madhya Pradesh); actively open to work; high recruiter responsiveness (resp=0.62)."
CAND_0036437,79,0.718022,"Search Engineer with 4.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 246); India-based (Kolkata, West Bengal)."
CAND_0001610,80,0.717046,"Machine Learning Engineer with 3 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 248); India-based (Trivandrum, Kerala); actively open to work."
CAND_0078492,81,0.716463,"Recommendation Systems Engineer with 5.1 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 240); India-based (Kochi, Kerala); actively open to work; high recruiter responsiveness (resp=0.70)."
CAND_0043228,82,0.715338,"Applied ML Engineer with 6.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.60); very high-trust IR/embedding skills (trust score 199); India-based (Chennai, Tamil Nadu)."
CAND_0066999,83,0.714362,"Recommendation Systems Engineer with 5.9 yrs experience; career shows ML/data engineering alignment (semantic score 0.59); very high-trust IR/embedding skills (trust score 206); India-based (Delhi, Delhi); actively open to work; high recruiter responsiveness (resp=0.63)."
CAND_0018549,84,0.713526,"Recommendation Systems Engineer with 6.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.65); very high-trust IR/embedding skills (trust score 215); India-based (Coimbatore, Tamil Nadu); actively open to work; high recruiter responsiveness (resp=0.73)."
CAND_0095528,85,0.713208,"Senior Data Scientist with 5.3 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 256); India-based (Indore, Madhya Pradesh); actively open to work; high recruiter responsiveness (resp=0.55)."
CAND_0003977,86,0.711867,"Recommendation Systems Engineer with 4.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 148); India-based (Delhi, Delhi)."
CAND_0079064,87,0.711019,"Senior Data Scientist with 5.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 211); India-based (Noida, Uttar Pradesh); actively open to work; 120-day notice period."
CAND_0064904,88,0.70692,"AI Engineer with 4.9 yrs experience; career shows ML/data engineering alignment (semantic score 0.55); very high-trust IR/embedding skills (trust score 256); India-based (Hyderabad, Telangana); actively open to work."
CAND_0007411,89,0.705861,"Senior Machine Learning Engineer with 8 yrs experience; career shows ML/data engineering alignment (semantic score 0.57); very high-trust IR/embedding skills (trust score 260); India-based (Kochi, Kerala); low recruiter response rate (0.12)."
CAND_0053591,90,0.705632,AI Engineer with 5.3 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 227); located in Toronto; actively open to work; high recruiter responsiveness (resp=0.81).
CAND_0076163,91,0.705549,"NLP Engineer with 6.9 yrs experience; career shows ML/data engineering alignment (semantic score 0.60); very high-trust IR/embedding skills (trust score 205); India-based (Chandigarh, Chandigarh); actively open to work; high recruiter responsiveness (resp=0.84)."
CAND_0005260,92,0.705088,"Senior NLP Engineer with 5.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 203); India-based (Chennai, Tamil Nadu)."
CAND_0081686,93,0.704613,Search Engineer with 6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 248); located in Austin.
CAND_0060054,94,0.704176,"AI Engineer with 6.4 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 166); India-based (Jaipur, Rajasthan)."
CAND_0037944,95,0.70259,"Senior Data Scientist with 4.9 yrs experience; career shows ML/data engineering alignment (semantic score 0.60); very high-trust IR/embedding skills (trust score 223); India-based (Jaipur, Rajasthan); actively open to work; high recruiter responsiveness (resp=0.42)."
CAND_0093912,96,0.702541,"Senior Data Scientist with 5.3 yrs experience; career shows ML/data engineering alignment (semantic score 0.58); very high-trust IR/embedding skills (trust score 216); India-based (Chandigarh, Chandigarh); actively open to work; high recruiter responsiveness (resp=0.66)."
CAND_0054123,97,0.701499,"Applied ML Engineer with 4.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 225); India-based (Gurgaon, Haryana)."
CAND_0074735,98,0.701322,"Applied ML Engineer with 5.5 yrs experience; career shows ML/data engineering alignment (semantic score 0.59); very high-trust IR/embedding skills (trust score 239); India-based (Chandigarh, Chandigarh); actively open to work."
CAND_0012957,99,0.699143,"Search Engineer with 4.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.68); very high-trust IR/embedding skills (trust score 177); India-based (Chennai, Tamil Nadu); 120-day notice period."
CAND_0060072,100,0.699095,"Staff Machine Learning Engineer with 5.7 yrs experience; career shows ML/data engineering alignment (semantic score 0.59); very high-trust IR/embedding skills (trust score 268); India-based (Indore, Madhya Pradesh); low recruiter response rate (0.10)."
